,date,geo_code,inf_hosp_intensive,inf_hosp_nonintensive,inf_home,inf_recovered,inf_dead,inf_tot_cum
94,2020-02-28T18:00:00,15,0,2,2,0,0,4
95,2020-02-28T18:00:00,16,0,1,2,0,0,3
96,2020-02-28T18:00:00,17,0,0,0,0,0,0
97,2020-02-28T18:00:00,18,0,0,1,0,0,1
98,2020-02-28T18:00:00,19,0,1,1,2,0,4
99,2020-02-28T18:00:00,20,0,0,0,0,0,0
100,2020-02-29T17:00:00,1,0,7,4,0,0,11
101,2020-02-29T17:00:00,2,0,0,0,0,0,0
102,2020-02-29T17:00:00,3,80,256,216,40,23,615
103,2020-02-29T17:00:00,4,0,1,0,0,0,1
104,2020-02-29T17:00:00,5,11,24,154,0,2,191
105,2020-02-29T17:00:00,6,0,0,0,0,0,0
106,2020-02-29T17:00:00,7,1,4,33,4,0,42
107,2020-02-29T17:00:00,8,11,86,116,0,4,217
108,2020-02-29T17:00:00,9,0,7,3,1,0,11
109,2020-02-29T17:00:00,10,0,0,0,0,0,0
110,2020-02-29T17:00:00,11,2,6,3,0,0,11
111,2020-02-29T17:00:00,12,0,3,0,3,0,6
112,2020-02-29T17:00:00,13,0,2,0,0,0,2
113,2020-02-29T17:00:00,14,0,0,0,0,0,0
114,2020-02-29T17:00:00,15,0,3,10,0,0,13
115,2020-02-29T17:00:00,16,0,1,2,0,0,3
116,2020-02-29T17:00:00,17,0,0,0,0,0,0
117,2020-02-29T17:00:00,18,0,0,1,0,0,1
118,2020-02-29T17:00:00,19,0,1,1,2,0,4
119,2020-02-29T17:00:00,20,0,0,0,0,0,0
120,2020-03-01T17:00:00,1,2,11,36,0,0,49
121,2020-03-01T17:00:00,2,0,0,0,0,0,0
122,2020-03-01T17:00:00,3,106,406,375,73,24,984
123,2020-03-01T17:00:00,4,0,1,0,0,0,1
124,2020-03-01T17:00:00,5,13,51,197,0,2,263
125,2020-03-01T17:00:00,6,0,0,6,0,0,6
126,2020-03-01T17:00:00,7,1,12,8,4,0,25
127,2020-03-01T17:00:00,8,13,127,137,0,8,285
128,2020-03-01T17:00:00,9,0,7,5,1,0,13
129,2020-03-01T17:00:00,10,0,0,2,0,0,2
130,2020-03-01T17:00:00,11,5,12,8,0,0,25
131,2020-03-01T17:00:00,12,0,3,0,3,0,6
132,2020-03-01T17:00:00,13,0,3,2,0,0,5
133,2020-03-01T17:00:00,14,0,0,0,0,0,0
134,2020-03-01T17:00:00,15,0,4,13,0,0,17
135,2020-03-01T17:00:00,16,0,1,2,0,0,3
136,2020-03-01T17:00:00,17,0,0,0,0,0,0
137,2020-03-01T17:00:00,18,0,0,1,0,0,1
